codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
43001,Cataluña,Tarragona,Aiguamúrcia,694,100,543,78.24,543,5,0,0,0,0,0,7.18232044198895,35.17495395948435,1.6574585635359116,0,20.626151012891345,0,0,0,0,0.9208103130755064,0,2.578268876611418,0,15.285451197053407,14.548802946593002,1.1049723756906078
43002,Cataluña,Tarragona,Albinyana,1875,100,1367,72.91,1348,11,19,0,0,0,0,16.69139465875371,16.91394658753709,0.9643916913946587,0,9.86646884272997,0,0,0,0.6676557863501483,2.1513353115727,0,3.3382789317507418,0,29.89614243323442,12.908011869436201,5.786350148367952
43003,Cataluña,Tarragona,L'Albiol,350,100,266,76,264,3,2,0,0,0,0,9.848484848484848,26.515151515151516,3.787878787878788,0,14.015151515151516,0,0,0,0,1.5151515151515151,0,2.6515151515151514,0,16.28787878787879,19.696969696969695,4.545454545454546
43004,Cataluña,Tarragona,Alcanar,6274,100,4744,75.61,4691,39,53,0,0,0,0,6.565764229375399,42.95459390321893,2.323598379876359,0,10.189725005329354,0,0,0,0.23449157962054998,0.5755702408868045,0,5.713067576209763,0,16.030697079513963,11.362182903432105,3.218929865700277
43005,Cataluña,Tarragona,Alcover,3643,100,2765,75.9,2749,22,16,0,0,0,0,10.403783193888687,30.883957802837397,2.4372499090578392,0,16.042197162604584,0,0,0,0.4001455074572572,1.2004365223717715,0,3.746817024372499,0,18.58857766460531,12.477264459803566,3.019279738086577
43006,Cataluña,Tarragona,Aldover,676,100,531,78.55,525,4,6,0,0,0,0,4.380952380952381,44.57142857142857,1.3333333333333333,0,10.285714285714286,0,0,0,0.38095238095238093,1.7142857142857142,0,5.904761904761905,0,18.285714285714285,10.476190476190476,1.9047619047619047
43007,Cataluña,Tarragona,L'Aleixar,640,100,510,79.69,509,0,1,0,0,0,0,10.216110019646365,37.721021611001966,1.5717092337917484,0,23.968565815324165,0,0,0,0.19646365422396855,1.37524557956778,0,2.357563850687623,0,11.00196463654224,10.216110019646365,1.37524557956778
43008,Cataluña,Tarragona,Alfara de Carles,307,100,202,65.8,200,1,2,0,0,0,0,9.5,31.5,0,0,12,0,0,0,0,0,0,6.5,0,20.5,9,10.5
43009,Cataluña,Tarragona,Alforja,1391,100,1086,78.07,1078,3,8,0,0,0,0,7.513914656771799,33.85899814471243,5.009276437847866,0,17.996289424860855,0,0,0,6.586270871985158,1.0204081632653061,0,2.1335807050092765,0,15.49165120593692,6.586270871985158,3.5250463821892395
43010,Cataluña,Tarragona,Alió,337,100,286,84.87,284,2,2,0,0,0,0,4.577464788732394,26.760563380281692,2.464788732394366,0,29.225352112676056,0,0,0,0,0,0,2.816901408450704,0,15.845070422535212,14.788732394366198,2.816901408450704
43011,Cataluña,Tarragona,Almoster,1079,100,912,84.52,909,1,3,0,0,0,0,5.9405940594059405,38.83388338833883,5.390539053905391,0,21.562156215621563,0,0,0,0.33003300330033003,1.1001100110011002,0,5.17051705170517,0,10.671067106710671,7.700770077007701,3.1903190319031904
43012,Cataluña,Tarragona,Altafulla,3647,100,3028,83.03,3019,15,9,0,0,0,0,11.924478304074198,29.214971844981783,2.186154355746936,0,13.216296787015567,0,0,0,0.23186485591255382,1.82179529645578,0,3.9748261013580657,0,19.311030142431267,14.011262007287181,3.6104670420669094
43013,Cataluña,Tarragona,L'Ametlla de Mar,4392,100,3341,76.07,3321,14,20,0,0,0,0,8.190304125263475,38.99427883167721,1.7765733212887684,0,17.645287563986752,0,0,0,1.7464619090635352,1.0538994278831677,0,4.275820535983137,0,14.24269798253538,8.581752484191508,3.071364046973803
43014,Cataluña,Tarragona,Amposta,15418,86.24,9800,73.71,9748,57,52,0,0,0,0,7.77595404185474,40.141567501025854,1.8157570783750514,0,10.279031596224867,0,0,0,0.5129257283545343,0.6668034468608945,0,3.805908904390644,0,19.583504308576117,11.910135412392286,2.9236766516208452
43015,Cataluña,Tarragona,Arbolí,119,100,101,84.87,101,0,0,0,0,0,0,0,50.495049504950494,4.9504950495049505,0,23.762376237623762,0,0,0,0,0.9900990099009901,0,0,0,0.9900990099009901,17.821782178217823,0.9900990099009901
43016,Cataluña,Tarragona,L'Arboç,3445,87.2,2303,76.66,2285,7,18,0,0,0,0,12.86652078774617,20.700218818380744,1.75054704595186,0,11.37855579868709,0,0,0,0.3063457330415755,1.663019693654267,0,3.2822757111597376,0,28.00875273522976,16.76148796498906,2.975929978118162
43017,Cataluña,Tarragona,L'Argentera,116,100,98,84.48,98,1,0,0,0,0,0,1.0204081632653061,50,8.16326530612245,0,23.46938775510204,0,0,0,1.0204081632653061,1.0204081632653061,0,0,0,9.183673469387756,5.1020408163265305,0
43018,Cataluña,Tarragona,Arnes,385,100,335,87.01,334,3,1,0,0,0,0,4.790419161676646,29.940119760479043,1.1976047904191616,0,36.22754491017964,0,0,0,1.1976047904191616,0.8982035928143712,0,1.1976047904191616,0,15.269461077844312,7.7844311377245505,0.5988023952095808
43019,Cataluña,Tarragona,Ascó,1336,100,1020,76.35,1008,4,12,0,0,0,0,8.333333333333334,43.45238095238095,1.9841269841269842,0,12.301587301587302,0,0,0,0.2976190476190476,0.0992063492063492,0,4.9603174603174605,0,17.063492063492063,8.333333333333334,2.7777777777777777
43020,Cataluña,Tarragona,Banyeres del Penedès,2276,100,1831,80.45,1819,12,12,0,0,0,0,14.293567894447499,21.7152281473337,1.2644310060472788,0,10.885101704233096,0,0,0,0.2748763056624519,1.7042330951072018,0,3.9582188015393074,0,24.40901594282573,16.327652556349644,4.507971412864211
43021,Cataluña,Tarragona,Barberà de la Conca,345,100,270,78.26,269,3,1,0,0,0,0,4.4609665427509295,39.77695167286245,3.717472118959108,0,22.676579925650557,0,0,0,0,0.7434944237918215,0,2.2304832713754648,0,11.152416356877323,9.66542750929368,4.4609665427509295
43022,Cataluña,Tarragona,Batea,1435,100,1130,78.75,1123,8,7,0,0,0,0,9.528049866429207,30.45414069456812,1.335707925200356,0,12.82279608192342,0,0,0,0.26714158504007124,0.26714158504007124,0,9.082813891362422,0,23.953695458593053,7.658058771148709,3.9180765805877114
43023,Cataluña,Tarragona,Bellmunt del Priorat,214,100,186,86.92,186,1,0,0,0,0,0,6.451612903225806,46.236559139784944,2.6881720430107525,0,12.365591397849462,0,0,0,0.5376344086021505,0.5376344086021505,0,0.5376344086021505,0,17.741935483870968,11.290322580645162,1.075268817204301
43024,Cataluña,Tarragona,Bellvei,1556,100,1154,74.16,1137,3,17,0,0,0,0,16.44678979771328,22.427440633245382,1.7590149516270888,0,8.091468777484609,0,0,0,0.1759014951627089,2.0228671943711523,0,4.485488126649076,0,25.065963060686016,14.160070360598064,5.101143359718558
43025,Cataluña,Tarragona,Benifallet,590,100,476,80.68,472,0,4,0,0,0,0,6.3559322033898304,38.983050847457626,1.0593220338983051,0,7.203389830508475,0,0,0,0.211864406779661,0.211864406779661,0,5.508474576271187,0,30.508474576271187,7.203389830508475,2.7542372881355934
43026,Cataluña,Tarragona,Benissanet,765,100,614,80.26,613,3,1,0,0,0,0,4.567699836867863,49.26590538336052,5.383360522022839,0,21.04404567699837,0,0,0,0,0.6525285481239804,0,3.2626427406199023,0,8.809135399673735,4.730831973898858,1.7944535073409462
43027,Cataluña,Tarragona,La Bisbal de Falset,164,100,137,83.54,137,0,0,0,0,0,0,0,36.496350364963504,2.18978102189781,0,43.7956204379562,0,0,0,0,0.7299270072992701,0,3.6496350364963503,0,8.02919708029197,2.18978102189781,2.9197080291970803
43028,Cataluña,Tarragona,La Bisbal del Penedès,2766,100,2007,72.56,1988,7,19,0,0,0,0,11.519114688128772,21.428571428571427,2.3138832997987926,0,14.336016096579478,0,0,0,0.30181086519114686,2.9678068410462775,0,3.1690140845070425,0,22.535211267605632,16.24748490945674,4.82897384305835
43029,Cataluña,Tarragona,Blancafort,314,100,253,80.57,252,0,1,0,0,0,0,2.7777777777777777,53.17460317460318,3.1746031746031744,0,19.841269841269842,0,0,0,0,1.1904761904761905,0,0.7936507936507936,0,8.333333333333334,10.714285714285714,0
43030,Cataluña,Tarragona,Bonastre,482,100,373,77.39,372,2,1,0,0,0,0,8.333333333333334,37.634408602150536,1.075268817204301,0,15.32258064516129,0,0,0,0.5376344086021505,1.881720430107527,0,2.6881720430107525,0,16.129032258064516,13.172043010752688,2.6881720430107525
43031,Cataluña,Tarragona,Les Borges del Camp,1446,100,1180,81.6,1178,7,2,0,0,0,0,6.112054329371817,34.125636672325975,3.3106960950764006,0,28.522920203735143,0,0,0,0.3395585738539898,1.2733446519524618,0,2.3769100169779285,0,12.98811544991511,7.300509337860781,3.0560271646859083
