codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
29001,Andalucía,Málaga,Alameda,4199,100,3380,80.5,3341,20,39,0,0,0,0,10.535767734211314,0,0,0,0,0,0,0,0.38910505836575876,0.6584854833882071,0,10.296318467524694,0,47.44088596228674,26.36935049386411,3.711463633642622
29002,Andalucía,Málaga,Alcaucín,1150,100,851,74,842,4,9,0,0,0,0,12.351543942992874,0,0,0,0,0,0,0,0.2375296912114014,0.7125890736342043,0,21.377672209026127,0,44.77434679334917,10.095011876484561,9.97624703087886
29003,Andalucía,Málaga,Alfarnate,922,100,740,80.26,727,3,13,0,0,0,0,13.480055020632737,0,0,0,0,0,0,0,0.4126547455295736,0.687757909215956,0,14.99312242090784,0,47.31774415405777,14.305364511691884,8.390646492434662
29004,Andalucía,Málaga,Alfarnatejo,295,100,233,78.98,226,0,7,0,0,0,0,8.849557522123893,0,0,0,0,0,0,0,0,1.3274336283185841,0,23.451327433628318,0,42.92035398230089,11.061946902654867,12.389380530973451
29005,Andalucía,Málaga,Algarrobo,4499,100,3202,71.17,3171,37,31,0,0,0,0,16.272469252601702,0,0,0,0,0,0,0,0.8830022075055187,1.261431725007884,0,22.327341532639547,0,31.472721538946704,8.956165247555976,17.660044150110377
29006,Andalucía,Málaga,Algatocín,665,100,491,73.83,483,5,8,0,0,0,0,9.523809523809524,0,0,0,0,0,0,0,0.2070393374741201,0.2070393374741201,0,25.46583850931677,0,42.2360248447205,6.832298136645963,14.492753623188406
29007,Andalucía,Málaga,Alhaurín de la Torre,28584,100,21525,75.3,21318,202,207,0,0,0,0,23.008725021108923,0,0,0,0,0,0,0,0.7599211933577259,2.110892203771461,0,16.952809832066798,0,25.499577821559246,14.344685242518059,16.3758326297026
29008,Andalucía,Málaga,Alhaurín el Grande,15184,86.44,9267,70.61,9121,81,142,0,0,0,0,19.36191207104484,0,0,0,0,0,0,0,0.9538427803968863,1.3595000548185505,0,21.697182326499288,0,28.43986404999452,8.29952856046486,19.000109637101193
29009,Andalucía,Málaga,Almáchar,1441,100,1097,76.13,1073,8,24,0,0,0,0,9.133271202236719,0,0,0,0,0,0,0,0,0.65237651444548,0,10.065237651444548,0,50.88536812674744,25.535880708294503,2.982292637465051
29010,Andalucía,Málaga,Almargen,1632,100,1372,84.07,1319,4,53,0,0,0,0,11.068991660348749,0,0,0,0,0,0,0,0.3032600454890068,0.3032600454890068,0,16.148597422289612,0,52.76724791508719,10.386656557998483,8.718726307808947
